Job Title,Employment Type,Experience Level,Salary,Company Location,Employee Residence,Company Size,Year
Data Engineer,Full-Time,Senior,194000,United States,United States,Medium,2023
Data Engineer,Full-Time,Senior,161000,United States,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,184950,United States,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,119250,United States,United States,Medium,2023
Data Engineer,Full-Time,Senior,178500,United States,United States,Medium,2023
Data Engineer,Full-Time,Senior,136000,United States,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,189000,United States,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,159090,United States,United States,Medium,2023
Data Engineer,Full-Time,Mid,91000,United States,United States,Medium,2023
Data Engineer,Full-Time,Mid,82000,United States,United States,Medium,2023
Data Engineer,Full-Time,Senior,149076,United States,United States,Medium,2023
Data Engineer,Full-Time,Senior,82365,United States,United States,Medium,2023
Applied Scientist,Full-Time,Senior,192000,United States,United States,Medium,2023
Applied Scientist,Full-Time,Senior,164000,United States,United States,Medium,2023
Data Scientist,Full-Time,Senior,175000,United States,United States,Medium,2023
Data Scientist,Full-Time,Senior,125000,United States,United States,Medium,2023
Data Engineer,Full-Time,Senior,194595,United States,United States,Medium,2023
Data Engineer,Full-Time,Senior,158000,United States,United States,Medium,2023
Data Engineer,Full-Time,Senior,240500,United States,United States,Large,2023
Data Engineer,Full-Time,Senior,123700,United States,United States,Large,2023
Data Scientist,Full-Time,Senior,212800,United States,United States,Large,2023
Data Scientist,Full-Time,Senior,111600,United States,United States,Large,2023
Research Engineer,Full-Time,Mid,257400,United States,United States,Medium,2023
Research Engineer,Full-Time,Mid,193500,United States,United States,Medium,2023
ML Engineer,Full-Time,Senior,305000,United States,United States,Medium,2023
ML Engineer,Full-Time,Senior,245000,United States,United States,Medium,2023
Data Scientist,Full-Time,Senior,205485,United States,United States,Medium,2023
Data Scientist,Full-Time,Senior,156560,United States,United States,Medium,2023
Data Analyst,Full-Time,Senior,168000,United States,United States,Large,2023
Data Analyst,Full-Time,Senior,78400,United States,United States,Large,2023
Machine Learning Engineer,Full-Time,Senior,260000,United States,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,175000,United States,United States,Medium,2023
Data Engineer,Full-Time,Executive,130002,United States,United States,Medium,2023
Data Engineer,Full-Time,Executive,71908,United States,United States,Medium,2023
Data Analyst,Full-Time,Senior,212000,United States,United States,Medium,2023
Data Analyst,Full-Time,Senior,132000,United States,United States,Medium,2023
Data Analyst,Full-Time,Mid,177000,United States,United States,Medium,2023
Data Analyst,Full-Time,Mid,110000,United States,United States,Medium,2023
Data Scientist,Full-Time,Senior,164000,United States,United States,Medium,2023
Research Scientist,Full-Time,Senior,248100,United States,United States,Medium,2023
Research Scientist,Full-Time,Senior,145900,United States,United States,Medium,2023
Data Analyst,Full-Time,Senior,148000,United States,United States,Medium,2023
Data Analyst,Full-Time,Senior,92000,United States,United States,Medium,2023
Applied Scientist,Full-Time,Senior,248100,United States,United States,Medium,2023
Applied Scientist,Full-Time,Senior,145900,United States,United States,Medium,2023
Data Lead,Full-Time,Senior,155000,United States,United States,Medium,2023
Data Lead,Full-Time,Senior,38000,United States,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,218000,United States,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,115000,United States,United States,Medium,2023
Data Strategist,Full-Time,Senior,104000,United States,United States,Medium,2023
Data Strategist,Full-Time,Senior,86000,United States,United States,Medium,2023
Analytics Engineer,Full-Time,Senior,235400,United States,United States,Medium,2023
Analytics Engineer,Full-Time,Senior,108320,United States,United States,Medium,2023
Data Quality Analyst,Full-Time,Senior,95000,United States,United States,Medium,2023
Data Quality Analyst,Full-Time,Senior,82000,United States,United States,Medium,2023
