Job Title,Experience Level,Salary,Employee Residence,Company Size,Year
Data Engineer,2,118000,0,1,2023
Data Scientist,3,299500,0,1,2023
Data Scientist,3,249600,0,1,2023
Other,2,185000,0,2,2023
Other,2,79600,0,2,2023
Data Engineer,1,120000,0,1,2023
Data Engineer,1,110000,0,1,2023
Data Analyst,1,100000,0,1,2023
Data Analyst,1,75000,0,1,2023
Machine Learning Engineer,2,297000,0,1,2023
Machine Learning Engineer,2,138000,0,1,2023
Data Scientist,1,135000,0,1,2023
Data Scientist,1,105000,0,1,2023
Data Scientist,2,267100,0,1,2023
Data Scientist,2,167200,0,1,2023
Data Scientist,2,202000,0,1,2023
Data Engineer,2,174350,0,1,2023
Data Engineer,2,126800,0,1,2023
Data Architect,2,188500,0,1,2023
Data Architect,2,117000,0,1,2023
Data Scientist,2,150931,0,1,2023
Data Scientist,2,143250,0,1,2023
Other,2,330000,0,1,2023
Other,2,204000,0,1,2023
Data Engineer,2,200000,0,1,2023
Data Engineer,2,160000,0,1,2023
Data Engineer,2,205600,0,2,2023
Data Engineer,2,105700,0,2,2023
Machine Learning Engineer,2,324000,0,1,2023
Machine Learning Engineer,2,159000,0,1,2023
Data Engineer,2,231000,0,1,2023
Data Engineer,2,157250,0,1,2023
Machine Learning Scientist,2,240000,0,1,2023
Machine Learning Scientist,2,157250,0,1,2023
Data Engineer,2,232000,0,1,2023
Data Engineer,2,108000,0,1,2023
Data Scientist,2,180000,0,1,2023
Data Scientist,2,135000,0,1,2023
Data Engineer,2,209000,0,1,2023
Data Engineer,2,135000,0,1,2023
Data Scientist,2,184250,0,1,2023
Data Scientist,2,167500,0,1,2023
Data Engineer,2,95000,0,1,2023
Data Engineer,2,85000,0,1,2023
Data Scientist,1,230000,0,1,2023
Data Scientist,1,175000,0,1,2023
Data Analyst,2,154440,0,1,2023
Data Analyst,2,68550,0,1,2023
Data Analyst,0,90000,0,1,2023
Data Analyst,0,60000,0,1,2023
Data Engineer,2,226600,0,1,2023
Data Engineer,2,140100,0,1,2023
Other,2,171050,0,1,2023
Other,2,124400,0,1,2023
Machine Learning Engineer,2,226600,0,1,2023
Machine Learning Engineer,2,140100,0,1,2023
Data Scientist,2,136000,0,1,2023
Data Scientist,2,104000,0,1,2023
Data Architect,2,80000,0,1,2023
Data Architect,2,52500,0,1,2023
Data Engineer,2,115000,0,1,2023
Research Engineer,2,253000,0,1,2023
Research Engineer,2,156400,0,1,2023
Machine Learning Engineer,2,300000,0,1,2023
Machine Learning Engineer,2,235000,0,1,2023
Data Analyst,2,223100,0,2,2023
Data Analyst,2,114700,0,2,2023
Data Analyst,2,95000,0,1,2023
Data Analyst,2,70000,0,1,2023
Data Scientist,2,120000,0,1,2023
Data Engineer,1,152375,0,1,2023
Data Engineer,1,94000,0,1,2023
Data Analyst,2,134000,0,1,2023
Data Analyst,2,120000,0,1,2023
Data Engineer,2,258750,0,1,2023
Data Engineer,2,172500,0,1,2023
Machine Learning Engineer,2,254000,0,1,2023
Machine Learning Engineer,2,200000,0,1,2023
Applied Scientist,2,230000,0,1,2023
Applied Scientist,2,196000,0,1,2023
Other,1,128000,0,1,2023
Other,1,81500,0,1,2023
Data Engineer,3,220000,0,1,2023
Data Engineer,3,150000,0,1,2023
Data Engineer,2,155000,0,1,2023
Data Engineer,2,109528,0,1,2023
Machine Learning Engineer,2,269500,0,1,2023
Machine Learning Engineer,2,166600,0,1,2023
Other,2,160000,0,2,2023
Data Analyst,2,93919,0,1,2023
Data Analyst,2,51962,0,1,2023
Data Architect,2,180000,0,1,2023
Data Architect,2,115000,0,1,2023
Data Analyst,2,186600,0,1,2023
